plant_species,plant_accepted_name,plant_family
Asplundia uncinata,Asplundia uncinata Harling,Cyclanthaceae
Asplundia euryspatha,Asplundia euryspatha Harling,Cyclanthaceae
Asplundia sleeperae,Asplundia sleeperae Grayum & Hammel,Cyclanthaceae
Asplundia utilis,Asplundia utilis (Oerst.) Harling,Cyclanthaceae
Asplundia vagans,Asplundia vagans Harling,Cyclanthaceae
Carludovica rotundifolia,Carludovica rotundifolia H.Wendl. ex Hook.f.,Cyclanthaceae
Carludovica sulcata,Carludovica sulcata Hammel,Cyclanthaceae
Chorigyne pendula,Chorigyne pendula (Hammel) R.Erikss.,Cyclanthaceae
Dicranopygium umbrophilum,Dicranopygium umbrophilum Hammel,Cyclanthaceae
Dicranopygium wedelii,Dicranopygium wedelii Harling,Cyclanthaceae
Evodianthus funifer,Evodianthus funifer (Poit.) Lindm.,Cyclanthaceae
Chamaerops humilis,Chamaerops humilis L.,Arecaceae
Chiloglottis valida,Chiloglottis valida D.L.Jones,Orchidaceae
Chiloglottis aff. valida,Chiloglottis R.Br.,Orchidaceae
Yucca brevifolia,Yucca brevifolia Engelm.,Asparagaceae
Socratea salazarii,Socratea salazarii H.E.Moore,Arecaceae
Mauritia flexuosa,Mauritia flexuosa L.f.,Arecaceae
Bactris gasipaes,Bactris gasipaes Kunth,Arecaceae
Syagrus sancona,Syagrus sancona (Kunth) H.Karst.,Arecaceae
Syagrus orinocensis,Syagrus orinocensis (Spruce) Burret,Arecaceae
Ceroxylon alpinum,Ceroxylon alpinum Bonpl. ex DC.,Arecaceae
Chamaedorea linearis,Chamaedorea linearis (Ruiz & Pav.) Mart.,Arecaceae
Geonoma macrostachys,Geonoma macrostachys Mart.,Arecaceae
Geonoma undata,Geonoma undata Klotzsch,Arecaceae
Iriartea deltoidea,Iriartea deltoidea Ruiz & Pav.,Arecaceae
Prestoea schultzeana,Prestoea schultzeana (Burret) H.E.Moore,Arecaceae
Attalea allenii,Attalea allenii H.E.Moore,Arecaceae
Wettinia quinaria,Wettinia quinaria (O.F.Cook & Doyle) Burret,Arecaceae
Wettinia microcarpa,Wettinia microcarpa (Burret) R.Bernal,Arecaceae
Wettinia fascicularis,Wettinia fascicularis (Burret) H.E.Moore & J.Dransf.,Arecaceae
Wettinia kalbreyeri,Wettinia kalbreyeri (Burret) R.Bernal,Arecaceae
Wettinia radiata,Wettinia radiata (O.F.Cook & Doyle) R.Bernal,Arecaceae
Wettinia praemorsa,Wettinia praemorsa (Willd.) Wess.Boer,Arecaceae
Wettinia aequalis,Wettinia aequalis (O.F.Cook & Doyle) R.Bernal,Arecaceae
Wettinia drudei,Wettinia drudei (O.F.Cook & Doyle) A.J.Hend.,Arecaceae
Yucca aloifolia,Yucca aloifolia L.,Asparagaceae
Yucca filamentosa,Yucca filamentosa L.,Asparagaceae
Lophocereus schottii,Lophocereus schottii (Engelm.) Britton & Rose,Cactaceae
Zamia furfuracea,Zamia furfuracea L.f.,Zamiaceae
Euterpe precatoria,Euterpe precatoria Mart.,Arecaceae
Attalea phalerata,Attalea phalerata Mart. ex Spreng.,Arecaceae
Bactris glaucescens,Bactris glaucescens Drude,Arecaceae
Phytelephas seemannii,Phytelephas seemannii O.F.Cook,Arecaceae
Bactris acanthocarpa var. exscapa,Bactris acanthocarpa var. exscapa Barb.Rodr.,Arecaceae
Bactris acanthocarpa var. intermedia,Bactris acanthocarpa var. intermedia A.J.Hend.,Arecaceae
Bactris acanthocarpa var. trailiana,Bactris acanthocarpa var. trailiana (Barb.Rodr.) A.J.Hend.,Arecaceae
Bactris gastoniana,Bactris gastoniana Barb.Rodr.,Arecaceae
Bactris hirta var. spruceana,Bactris hirta var. spruceana (Trail) A.J.Hend.,Arecaceae
Bactris killipii,Bactris killipii Burret,Arecaceae
Bactris maraja var. trichospatha,Bactris maraja var. trichospatha (Trail) A.J.Hend.,Arecaceae
Bactris oligocarpa,Bactris oligocarpa Barb.Rodr.,Arecaceae
Bactris simplicifrons,Bactris simplicifrons Mart.,Arecaceae
Bactris tomentosa,Bactris tomentosa Mart.,Arecaceae
Yucca constricta,Yucca constricta Buckley,Asparagaceae
Yucca glauca,Yucca glauca Nutt.,Asparagaceae
Yucca pallida,Yucca pallida McKelvey,Asparagaceae
Yucca reverchoni,Yucca reverchonii Trel.,Asparagaceae
Yucca rupicola,Yucca rupicola Scheele,Asparagaceae
Lithophragma parviflorum,Lithophragma parviflorum (Hook.) Nutt.,Saxifragaceae
Lithophragma affine,Lithophragma affine A.Gray,Saxifragaceae
Lithophragma heterophyllum,Lithophragma heterophyllum (Hook. & Arn.) Hook. & Arn.,Saxifragaceae
Chamaedorea costaricana,Chamaedorea costaricana Oerst.,Arecaceae
Chamaedorea macrospadix,Chamaedorea macrospadix Oerst.,Arecaceae
Chamaedorea pinnatifrons,Chamaedorea pinnatifrons (Jacq.) Oerst.,Arecaceae
Chamaedorea tepejilote,Chamaedorea tepejilote Liebm.,Arecaceae
Nypa fruticans,Nypa fruticans Wurmb,Arecaceae
Syagrus coronata,Syagrus coronata (Mart.) Becc.,Arecaceae
Hymenopus heteromorphus,Hymenopus heteromorphus (Benth.) Sothers & Prance,Chrysobalanaceae
Matayba guianensis,Matayba guianensis Aubl.,Sapindaceae
Tachigali guianensis,Tachigali guianensis (Benth.) Zarucchi & Herend.,Fabaceae
Bactris bifida,Bactris bifida Oerst.,Arecaceae
Bactris monticola,Bactris monticola Barb.Rodr.,Arecaceae
Bactris guineensis,Bactris guineensis (L.) H.E.Moore,Arecaceae
Ceroxylon parvifrons,Ceroxylon parvifrons (Engel) H.Wendl.,Arecaceae
Ceroxylon ventricosum,Ceroxylon ventricosum Burret,Arecaceae
Ceroxylon vogelianum,Ceroxylon vogelianum (Engel) H.Wendl.,Arecaceae
Xanthosoma purpuratum,Xanthosoma purpuratum K.Krause,Araceae
Philodendron fragrantissimum,Philodendron fragrantissimum (Hook.) G.Don,Araceae
Acrocomia aculeata,Acrocomia aculeata (Jacq.) Lodd. ex R.Keith,Arecaceae
Annona crassiflora,Annona crassiflora Mart.,Annonaceae
Annona coriacea,Annona coriacea Mart.,Annonaceae
Annona dioica,Annona dioica A.St.-Hil.,Annonaceae
Annona montana,Annona montana Macfad.,Annonaceae
Caladium bicolor,Caladium bicolor (Aiton) Vent.,Araceae
Taccarum ulei,Taccarum ulei Engl. & K.Krause,Araceae
Philodendron adamantinum,Philodendron adamantinum Mart. ex Schott,Araceae
Euterpe edulis,Euterpe edulis Mart.,Arecaceae
Phytelephas aequatorialis,Phytelephas aequatorialis Spruce,Arecaceae
Phytelephas macrocarpa,Phytelephas macrocarpa Ruiz & Pav.,Arecaceae
Aphandra natalia,Aphandra natalia (Balslev & A.J.Hend.) Barfod,Arecaceae
Geonoma acaulis,Geonoma acaulis (Poit.) Burret,Arecaceae
Geonoma gracilis,Geonoma gracilis H.Wendl. ex Spruce,Arecaceae
Geonoma interrupta,Geonoma interrupta (Ruiz & Pav.) Mart.,Arecaceae
Napoleonaea vogelii,Napoleonaea vogelii Hook. & Planch.,Lecythidaceae
Lysichiton americanus,Lysichiton americanus Hultén & H.St.John,Araceae
Viburnum opulus,Viburnum opulus L.,Viburnaceae
Shorea parvifolia,Shorea parvifolia Dyer,Dipterocarpaceae
Schismatoglottis giamensis,"Schismatoglottis giamensis S.Y.Wong, Y.C.Hoe & P.C.Boyce",Araceae
Schismatoglottis caesia,"Schismatoglottis caesia S.Y.Wong, P.C.Boyce & Y.C.Hoe",Araceae
Schismatoglottis muluensis,Schismatoglottis muluensis M.Hotta,Araceae
Phymatatum borneense,Phymatarum borneense M.Hotta,Araceae
Schottarum sarikeense,Schottarum sarikeense (Bogner & M.Hotta) P.C.Boyce & S.Y.Wong,Araceae
Magnolia obovata,Magnolia obovata (W.T.Aiton) Link,Magnoliaceae
none,Nonea Medik.,Boraginaceae
Prosopanche panguanensis,Prosopanche panguanensis C.Martel & Rob.Fern.,Aristolochiaceae
Cecropia saxatilis,Cecropia saxatilis Snethl.,Urticaceae
Fagonia indica,Fagonia indica Burm.f.,Zygophyllaceae
Cuphea lanceolata,Cuphea lanceolata W.T.Aiton,Lythraceae
Cuphea ignia,Cuphea ignea A.DC.,Lythraceae
Actinidia chinensis var. chinensis 'AU Golden Sunshine',Actinidia chinensis var. chinensis ,Actinidiaceae
Actinidia chinensis var. chinensis 'AU Gulf Coast Gold',Actinidia chinensis var. chinensis ,Actinidiaceae
Actinidia chinensis var. chinensis,Actinidia chinensis var. chinensis ,Actinidiaceae
Eurya japonica,Eurya japonica Thunb.,Pentaphylacaceae
Camellia japonica,Camellia japonica L.,Theaceae
Brassica napus,Brassica napus L.,Brassicaceae
Brassica rapa,Brassica rapa L.,Brassicaceae
Sinapis alba,Sinapis alba L.,Brassicaceae
Arabidopsis lyrata ssp. petraea,Arabidopsis lyrata subsp. petraea (L.) O'Kane & Al-Shehbaz,Brassicaceae
Tolumnia variegata,Tolumnia variegata (Sw.) Braem,Orchidaceae
Centaurea scabiosa,Centaurea scabiosa L.,Asteraceae
Heliotropium curassavicum,Heliotropium curassavicum L.,Boraginaceae
Aosa rupestris,Aosa rupestris (Gardner) Weigend,Loasaceae
Blumenbachia hieronymi,Blumenbachia hieronymi Urb.,Loasaceae
Blumenbachia insignis,Blumenbachia insignis Schrad.,Loasaceae
Nasa moroensis,Nasa moroensis Weigend,Loasaceae
Nasa picta,Nasa picta (Hook.) Weigend,Loasaceae
Nasa urens,Nasa urens (Jacq.) Weigend,Loasaceae
Nasa vargasii,Nasa vargasii (J.F.Macbr.) Weigend,Loasaceae
Presliophytum arequipensis,Presliophytum arequipensis Weigend,NA
Xylopodia klaprothioides,Xylopodia klaprothioides Weigend,Loasaceae
Caiophora canarinoides,Caiophora canarinoides (Lenné & K.Koch) Urb. & Gilg,Loasaceae
Caiophora cirsiifolia,Caiophora cirsiifolia C.Presl,Loasaceae
Caiophora grandiflora,Caiophora grandiflora Weigend & Mark.Ackermann,Loasaceae
Caiophora cf. superba,Caiophora C.Presl,Loasaceae
Nasa macrothyrsa,Nasa macrothyrsa (Urb. & Gilg) Weigend,Loasaceae
Listera cordata,Listera cordata (L.) R.Br.,Orchidaceae
Paspalum dilatatum,Paspalum dilatatum Poir.,Poaceae
Gongora bufonia,Gongora bufonia Lindl.,Orchidaceae
Haplopappus foliosus,Haplopappus foliosus DC.,Asteraceae
Haplopappus chrysanthemifolius,Haplopappus chrysanthemifolius DC.,Asteraceae
Haplopappus decurrens,Haplopappus decurrens J.Rémy,Asteraceae
Haplopappus velutinus,Haplopappus velutinus J.Rémy,Asteraceae
Haplopappus uncinatus,Haplopappus uncinatus Phil.,Asteraceae
